date,rt_median,rt_CI95l,rt_CI95u,true_rt,coverage
0,1.4361433426095802,0.7980099292541072,2.6424872254281007,1.01470144,TRUE
1,1.3911274271170235,0.8750257810328528,2.1429582033692247,1.0602398133333333,TRUE
2,1.2305907682097856,0.7801113721751568,1.6927710072742974,1.10317394,TRUE
3,1.3621554416538246,0.9920728832141821,1.798543121367331,1.1721443333333337,TRUE
4,1.5709731685498414,1.1857006801668288,2.2985446582638835,1.3343168,TRUE
5,1.4885356367562708,1.1065040361631953,1.9298062499826725,1.4803552333333334,TRUE
6,1.517331321261481,1.1402231715692188,1.992976984847178,1.5467182435897435,TRUE
7,1.4618736587437091,1.094269338655845,1.944026017172305,1.5332026153846154,TRUE
8,1.3591011527644066,1.0181008637606241,1.7721605573010453,1.4505967777777775,TRUE
9,1.3205545599037622,0.9832710630149613,1.849903993497778,1.2652149743589745,TRUE
10,1.0863923858185927,0.83325432563933155,1.4590375264532445,1.028930153846154,TRUE
11,0.8232385415457534,0.563474614661977,1.098138590848685,0.8639492666666667,TRUE
12,0.7223677880386287,0.4966057518691548,0.9464406058230375,0.7555184333333334,TRUE
13,0.7156842023222609,0.5354118735590846,0.9946000953006511,0.668328,TRUE
14,0.6384061726559833,0.4705090313576289,0.9031936605616172,0.5848898461538461,TRUE
15,0.5012482210331044,0.3221366326422472,0.7133520551842066,0.4709098974358974,TRUE
16,0.445673136283119,0.2322069060843978,0.7272312814393174,0.39544722222222223,TRUE
