date,incid_median,incid_CI95l,incid_CI95u,total_incid,coverage
-8,557.8469914271807,15.796540398456713,5916.183504395549,NA,NA
-7,552.3641105629536,20.380303839659515,5637.904250058613,NA,NA
-6,529.711344981496,18.256744922610697,5585.5146625416155,NA,NA
-5,548.7218452705445,13.022221638715479,5724.188000263437,NA,NA
-4,587.184356439396,16.847860437858927,5993.179847358306,NA,NA
-3,594.0527908222646,18.19932014524247,5325.692320885116,NA,NA
-2,715.0254744779287,28.68267708618943,4639.436136693248,NA,NA
-1,1037.6630250069484,121.88359239103114,2772.105143232358,NA,NA
0,1543.311691677937,793.2075443023954,2600.5577467586,3054,FALSE
1,1925.1886202099874,1059.3883014132637,3075.2825012649155,3232,FALSE
2,2375.7245188023217,1248.9434245871691,3731.000647266214,3468,TRUE
3,3479.965365817704,1968.087186507275,5410.102203366804,4173,TRUE
4,5152.139637639357,2975.116805774517,7961.884006144044,5384,TRUE
5,6542.109250366211,3645.5540030238926,10005.784962076239,7488,TRUE
6,9054.524442255413,5142.192989655257,13658.356404489119,10172,TRUE
7,12325.405173554562,7011.928479997761,18087.316161275336,14028,TRUE
8,14584.662277764653,8199.163536524848,21751.18321877067,17754,TRUE
9,17539.096755782164,9942.619188786673,25828.237811685787,20085,TRUE
10,18655.373907112225,10637.518944034202,27399.331455163585,18953,TRUE
11,17166.090585236154,9635.853067815748,25309.76019252818,15967,TRUE
12,14311.627801582314,8223.043154761457,21599.01227732087,13048,TRUE
13,9471.943526348452,5504.28004747663,14296.614845449441,9982,TRUE
14,5738.664992790478,3251.6628065176783,8721.511785786484,7070,TRUE
15,3447.3807181295183,1906.1070740703287,5529.648015872697,4346,TRUE
16,2206.906994616359,1097.658095752019,4087.1159976002696,2465,TRUE
