variable,time,value,.lower,.upper,.width,.point,.interval,week,total_cases,total_tests,total_incid,total_E2I,case_detection,total_casemean,empiric_rho,empiric_posprob,true_rt,time.y,coverage
incid,10,4406.744764356586,2207.5683744432577,9998.68961539772,0.95,median,qi,8,209,1293,17754,15745,0.01327405525563671,263.82357,1.0266090684947185e-5,0.1616395978344934,1.4903758333333332,8,FALSE
incid,11,6072.888842835835,3101.7468422503975,13584.927995465827,0.95,median,qi,9,403,1857,20085,18781,0.02145785634417762,449.5887,1.155511919449522e-5,0.21701669359181475,1.3043389487179486,9,FALSE
incid,12,6811.656900331165,3401.2135365310146,15143.942602821044,0.95,median,qi,10,636,2258,18953,19526,0.03257195534159582,566.6435100000001,1.4425135226570337e-5,0.2816651904340124,1.0609778461538464,10,FALSE
incid,13,6782.23406843414,3450.676859576212,15092.147388779671,0.95,median,qi,11,547,2625,15967,17472,0.03130723443223443,588.80421,1.192656549799407e-5,0.2083809523809524,0.8883550000000001,11,FALSE
incid,14,5370.0906048973075,2675.7972520856756,12113.99506585382,0.95,median,qi,12,770,2992,13048,14635,0.05261359754014349,562.27347,1.7584758536144215e-5,0.25735294117647056,0.7746652333333334,12,FALSE
incid,15,3775.7251584456726,1858.3920601396792,8546.396127042814,0.95,median,qi,13,546,3202,9982,11683,0.04673457159976033,480.58866,1.4595431480249948e-5,0.17051842598376016,0.6825072,13,FALSE
incid,16,2486.282740687274,1193.6498860174418,5947.359387986992,0.95,median,qi,14,361,3325,7070,8846,0.04080940538096315,377.75502000000006,1.2273505377733278e-5,0.10857142857142855,0.5954726153846153,14,FALSE
incid,17,1711.7870005801985,775.7067960499647,4323.600109403348,0.95,median,qi,15,208,3448,4346,5845,0.03558597091531223,258.79212,1.0320757226018628e-5,0.06032482598607888,0.47777938461538466,15,FALSE
incid,18,1239.303357724172,433.89028691349205,3937.261327714502,0.95,median,qi,16,141,3675,2465,3547,0.03975190301663377,166.87548,1.0816844358267694e-5,0.03836734693877551,0.4002064444444445,16,TRUE
incid,2,324.958531367902,177.2356521267279,696.1444540636033,0.95,median,qi,0,14,700,3054,2916,0.00480109739368998,26.244,6.858710562414267e-6,0.02,1.0240546133333337,0,FALSE
incid,3,324.958531367902,177.2356521267279,696.1444540636033,0.95,median,qi,1,24,700,3232,3111,0.00771456123432979,27.999,1.1020801763328285e-5,0.03428571428571429,1.07132778,1,FALSE
incid,4,324.958531367902,177.2356521267279,696.1444540636033,0.95,median,qi,2,12,700,3468,3342,0.00359066427289048,30.078000000000003,5.12952038984355e-6,0.01714285714285714,1.1165158,2,FALSE
incid,5,324.958531367902,177.2356521267279,696.1444540636033,0.95,median,qi,3,22,700,4173,3837,0.00573364607766484,34.533,8.190922968092632e-6,0.03142857142857143,1.1888162666666668,3,FALSE
incid,6,324.958531367902,177.2356521267279,696.1444540636033,0.95,median,qi,4,63,700,5384,4677,0.01347017318794098,42.093,1.9243104554201412e-5,0.09,1.3559970666666668,4,FALSE
incid,7,847.533241131199,431.72758203528053,1873.0001201820107,0.95,median,qi,5,45,700,7488,6319,0.00712137996518436,56.871,1.0173399950263375e-5,0.06428571428571428,1.5074009000000002,5,FALSE
incid,8,1638.5724477365807,832.5668552343839,3555.5699194129734,0.95,median,qi,6,75,781,10172,8669,0.00865151689929634,87.54597000000001,1.1077486426755882e-5,0.09603072983354674,1.578641717948718,6,FALSE
incid,9,2744.197561076241,1375.1754833506598,6023.746022845988,0.95,median,qi,7,173,969,14028,11842,0.0146090187468333,148.17519,1.5076386735638086e-5,0.1785345717234262,1.5708662564102562,7,FALSE
