week,total_cases,total_tests,total_incid,total_E2I,case_detection,total_casemean,empiric_rho,empiric_posprob,true_rt,time,epidemia_time
0,43,1458,3326,3423,0.012562080046742623,64.07811000000001,8.615967110248712e-6,0.029492455418381344,1.01470144,0,13
1,80,1427,3617,3475,0.02302158273381295,63.86688,1.6132854053127506e-5,0.05606166783461808,1.0602398133333333,1,14
2,57,1462,4042,3791,0.015035610656818781,71.037,1.0284275415060726e-5,0.03898768809849521,1.10317394,2,15
3,49,1321,4524,4214,0.011627906976744186,71.52516,8.802351988451313e-6,0.03709311127933384,1.1721443333333335,3,16
4,133,1463,5866,5147,0.025840295317660772,96.91461000000001,1.7662539519932176e-5,0.09090909090909091,1.3343167999999999,4,17
5,121,1392,7951,6846,0.017674554484370435,123.13485,1.2697237416932784e-5,0.08692528735632184,1.4803552333333334,5,18
6,167,1405,10764,9195,0.01816204458945079,165.65157,1.2926722127722981e-5,0.11886120996441281,1.5467182435897435,6,19
7,238,1406,14444,12402,0.019190453152717304,225.45693,1.3648970947878595e-5,0.16927453769559034,1.5332026153846154,7,20
8,186,1214,17994,16029,0.01160396780834737,249.08409,9.558457832246597e-6,0.15321252059308071,1.4505967777777777,8,21
9,323,1379,19830,18791,0.017189079878665317,333.75384,1.2464887511722493e-5,0.23422770123277736,1.2652149743589745,9,22
10,371,1370,18077,19046,0.0194791557282369,335.51730000000003,1.4218361845428393e-5,0.2708029197080292,1.028930153846154,10,23
11,298,1405,15112,16465,0.018098997874278773,298.15191,1.2881849020838984e-5,0.21209964412811388,0.8639492666666667,11,24
12,195,1489,12181,13870,0.014059120403749098,265.62996000000004,9.441988182504432e-6,0.13096037609133646,0.7555184333333334,12,25
13,163,1285,9230,10929,0.014914447799432701,181.33749,1.1606574162982646e-5,0.12684824902723735,0.668328,13,26
14,196,1455,6500,8108,0.024173655648741982,150.83685,1.6614196322159437e-5,0.13470790378006872,0.5848898461538461,14,27
15,112,1456,3965,5342,0.020965930363159864,100.37196,1.439967744722518e-5,0.07692307692307693,0.4709098974358974,15,28
16,54,1463,2226,3248,0.0166256157635468,61.30062,1.1364057254645796e-5,0.03691045796308954,0.39544722222222223,16,29
